timestamp,sensor_1,sensor_2,sensor_3
1544194978126,0,0,0.500489
1544194978231,0,0,0.504399
1544194978345,0,0,0.495601
1544194978450,0,0,0.502444
1544194978559,0,0,0.497556
1544194978671,0,0,0.489736
1544194978782,0,0,0.493646
1544194978886,0,0,0.497556
1544194978996,0,0,0.499511
1544194979105,0,0,0.496579
1544194979263,0,0,0.505376
1544194979359,0,0,0.499511
1544194979468,0,0,0.496579
1544194979579,0,0,0.495601
1544194979689,0,0,0.504399
1544194979795,0,0,0.495601
1544194979904,0,0,0.500489
1544194980012,0,0,0.509286
1544194980125,0,0,0.502444
1544194980234,0,0,0.496579
1544194980339,0,0,0.503421
1544194980451,0,0,0.496579
1544194980561,0,0,0.495601
1544194980670,0,0,0.496579
1544194980782,0,0,0.507331
1544194980891,0,0,0.493646
1544194980997,0,0,0.501466
1544194981109,0,0,0.501466
1544194981218,0,0,0.504399
1544194981324,0,0,0.493646
1544194981433,0,0,0.497556
1544194981542,0,0,0.497556
1544194981657,0,0,0.500489
1544194981767,0,0,0.495601
1544194981873,0,0,0.497556
1544194981982,0,0,0.500489
1544194982089,0,0,0.501466
1544194982201,0,0,0.511241
1544194982309,0,0,0.490714
1544194982417,0,0,0.502444
1544194982527,0,0,0.504399
1544194982643,0,0,0.499511
1544194982750,0,0,0.506354
1544194982860,0,0,0.496579
1544194982969,0,0,0.495601
1544194983077,0,0,0.498534
1544194983183,0,0,0.496579
1544194983296,0,0,0.506354
1544194983407,0,0,0.497556
1544194983514,0,0,0.499511
1544194983622,0,0,0.505376
1544194983733,0,0,0.499511
1544194983839,0,0,0.503421
1544194983955,0,0,0.497556
1544194984058,0,0,0.502444
1544194984171,0,0,0.505376
1544194984282,0,0,0.503421
1544194984389,0,0,0.501466
1544194984495,0,0,0.496579
1544194984609,0,0,0.509286
1544194984719,0,0,0.503421
1544194984827,0,0,0.503421
1544194984938,0,0,0.503421
1544194985045,0,0,0.496579
1544194985152,0,0,0.500489
1544194985268,0,0,0.501466
1544194985373,0,0,0.498534
1544194985485,0,0,0.506354
1544194985593,0,0,0.503421
1544194985700,0,0,0.504399
1544194985813,0,0,0.499511
1544194985920,0,0,0.500489
1544194986029,0,0,0.499511
1544194986143,0,0,0.498534
1544194986248,0,0,0.499511
1544194986356,0,0,0.500489
1544194986469,0,0,0.504399
1544194986580,0,0,0.503421
1544194986686,0,0,0.505376
1544194986797,0,0,0.500489
1544194986901,0,0,0.502444
1544194987012,0,0,0.502444
1544194987124,0,0,0.500489
1544194987233,0,0,0.496579
1544194987340,0.00293255,0,0.500489
1544194987450,0,0,0.506354
1544194987557,0,0,0.506354
1544194987672,0,0,0.497556
1544194987781,0,0,0.505376
1544194987890,0,0,0.502444
1544194987999,0,0,0.502444
1544194988106,0,0,0.502444
1544194988217,0,0,0.500489
1544194988327,0,0,0.506354
1544194988438,0,0,0.503421
1544194988546,0,0,0.500489
1544194988656,0,0,0.503421
1544194988762,0,0,0.501466
1544194988873,0,0,0.504399
1544194988979,0,0,0.493646
1544194989094,0,0,0.506354
1544194989201,0,0,0.502444
1544194989314,0,0,0.506354
1544194989421,0,0,0.500489
1544194989529,0,0,0.501466
1544194989636,0,0,0.502444
1544194989750,0,0,0.502444
1544194989859,0,0,0.500489
1544194989967,0,0,0.502444
1544194990074,0,0,0.504399
1544194990183,0,0,0.506354
1544194990292,0,0,0.504399
1544194990402,0,0,0.500489
1544194990517,0,0,0.504399
1544194990621,0,0,0.499511
1544194990731,0,0,0.499511
1544194990843,0,0,0.497556
1544194990954,0,0,0.501466
1544194991058,0,0,0.502444
1544194991171,0,0,0.500489
1544194991276,0,0,0.501466
1544194991386,0,0,0.503421
1544194991495,0,0,0.505376
1544194991604,0,0,0.502444
1544194991719,0,0,0.504399
1544194991829,0,0,0.501466
1544194991937,0,0,0.505376
1544194992044,0,0,0.507331
1544194992157,0,0,0.499511
1544194992263,0,0,0.501466
1544194992374,0,0,0.504399
1544194992485,0,0,0.502444
1544194992595,0,0,0.502444
1544194992702,0,0,0.499511
1544194992814,0.13392,0,0.503421
1544194992920,0.0361681,0,0.509286
1544194993029,0,0,0.496579
1544194993142,0,0,0.503421
1544194993251,0,0,0.497556
1544194993355,0,0,0.502444
1544194993468,0,0,0.500489
1544194993577,0,0,0.502444
1544194993689,0.00195503,0,0.505376
1544194993795,0,0,0.503421
1544194993907,0,0,0.498534
1544194994013,0,0,0.506354
1544194994125,0,0,0.500489
1544194994234,0,0,0.505376
1544194994344,0,0,0.497556
1544194994448,0,0,0.504399
1544194994564,0,0,0.507331
1544194994668,0,0,0.501466
1544194994777,0,0,0.506354
1544194994886,0,0,0.502444
1544194994999,0,0,0.503421
1544194995106,0,0,0.504399
1544194995220,0.274682,0,0.498534
1544194995329,0,0,0.496579
1544194995433,0,0,0.505376
1544194995547,0,0,0.503421
1544194995656,0,0,0.506354
1544194995761,0,0,0.499511
1544194995875,0,0,0.502444
1544194995984,0,0,0.505376
1544194996094,0,0,0.504399
1544194996204,0,0,0.504399
1544194996309,0,0,0.502444
1544194996423,0,0,0.504399
1544194996533,0,0,0.503421
1544194996639,0,0,0.502444
1544194996750,0,0,0.496579
1544194996856,0,0,0.505376
1544194996967,0,0,0.503421
1544194997077,0,0,0.503421
1544194997189,0,0,0.501466
1544194997297,0,0,0.502444
1544194997405,0,0,0.506354
1544194997512,0,0,0.501466
1544194997621,0,0,0.500489
1544194997733,0,0,0.503421
1544194997842,0,0,0.500489
1544194997952,0,0,0.497556
1544194998058,0,0,0.502444
1544194998168,0,0,0.501466
1544194998280,0,0,0.507331
1544194998386,0.264907,0,0.500489
1544194998500,0,0,0.501466
1544194998610,0,0,0.500489
1544194998717,0,0,0.503421
1544194998826,0,0,0.502444
1544194998936,0,0,0.503421
1544194999043,0,0,0.503421
1544194999156,0,0,0.500489
1544194999266,0,0,0.505376
1544194999373,0,0,0.503421
1544194999481,0,0,0.505376
1544194999594,0,0,0.501466
1544194999702,0,0,0.495601
1544194999810,0,0,0.503421
1544194999921,0,0,0.503421
1544195000027,0,0,0.501466
1544195000142,0,0,0.503421
1544195000245,0.0410557,0,0.501466
1544195000354,0,0,0.499511
1544195000464,0,0,0.506354
1544195000577,0,0,0.506354
1544195000684,0,0,0.504399
1544195000796,0,0,0.502444
1544195000906,0,0,0.503421
1544195001013,0,0,0.505376
1544195001120,0,0,0.507331
1544195001234,0,0,0.501466
1544195001339,0,0,0.502444
1544195001451,0,0,0.503421
1544195001559,0,0,0.502444
1544195001669,0,0,0.501466
1544195001781,0,0,0.501466
1544195001886,0,0,0.508309
1544195002000,0,0,0.508309
1544195002110,0.392962,0,0.500489
1544195002215,0,0,0.504399
1544195002328,0,0,0.501466
1544195002437,0,0,0.503421
1544195002546,0,0,0.501466
1544195002656,0,0,0.504399
1544195002767,0,0,0.501466
1544195002874,0,0,0.505376
1544195002984,0,0,0.505376
1544195003093,0,0,0.501466
1544195003200,0,0,0.501466
1544195003309,0,0,0.502444
1544195003422,0,0,0.503421
1544195003532,0,0,0.500489
1544195003636,0,0,0.505376
1544195003749,0,0,0.506354
1544195003858,0,0,0.503421
1544195003968,0,0,0.503421
1544195004078,0,0,0.501466
1544195004184,0,0,0.506354
1544195004296,0,0,0.501466
1544195004407,0,0,0.498534
1544195004516,0,0,0.509286
1544195004626,0,0,0.508309
1544195004730,0,0,0.500489
1544195004845,0,0,0.508309
1544195004953,0.539589,0,0.499511
1544195005062,0.337243,0,0.506354
1544195005170,0.453568,0,0.497556
1544195005277,0.501466,0,0.501466
1544195005386,0.101662,0,0.505376
1544195005496,0,0,0.509286
