timestamp,sensor_1,sensor_2,sensor_3
1544195452951,0,0,0.474096
1544195453059,0,0,0.449658
1544195453167,0,0,0.456501
1544195453279,0,0,0.455523
1544195453388,0,0,0.623656
1544195453497,0,0,0.558162
1544195453607,0,0,0.468231
1544195453718,0,0,0.521017
1544195453824,0,0,0.474096
1544195453936,0,0,0.460411
1544195454044,0,0,0.463343
1544195454155,0,0,0.458456
1544195454261,0,0,0.645161
1544195454372,0,0,0.5435
1544195454483,0,0,0.464321
1544195454593,0,0,0.512219
1544195454704,0,0,0.481916
1544195454808,0,0,0.44868
1544195454922,0,0,0.460411
1544195455029,0,0,0.455523
1544195455136,0,0,0.57869
1544195455246,0,0,0.593353
1544195455357,0,0,0.477028
1544195455465,0,0,0.526882
1544195455577,0,0,0.488759
1544195455684,0,0,0.458456
1544195455792,0,0,0.468231
1544195455907,0,0,0.464321
1544195456018,0,0,0.576735
1544195456121,0,0,0.684262
1544195456229,0,0,0.528837
1544195456343,0,0,0.513196
1544195456453,0,0,0.514174
1544195456560,0,0,0.475073
1544195456671,0,0,0.490714
1544195456782,0,0,0.480938
1544195456886,0,0,0.468231
1544195456998,0,0,0.606061
1544195457104,0,0,0.591398
1544195457217,0,0,0.453568
1544195457323,0,0,0.537634
1544195457439,0,0,0.530792
1544195457545,0,0,0.498534
1544195457655,0,0,0.482893
1544195457763,0,0,0.478006
1544195457871,0,0,0.471163
1544195457981,0,0,0.592375
1544195458091,0,0,0.726295
1544195458204,0,0,0.516129
1544195458310,0,0,0.528837
1544195458420,0,0,0.512219
1544195458526,0,0,0.45259
1544195458637,0,0,0.450635
1544195458747,0,0,0.445748
1544195458854,0,0,0.441838
1544195458970,0,0,0.501466
1544195459074,0,0,0.735093
1544195459184,0,0,0.531769
1544195459296,0,0,0.521017
1544195459407,0,0,0.532747
1544195459512,0,0,0.462366
1544195459621,0,0,0.453568
1544195459735,0,0,0.451613
1544195459839,0,0,0.441838
1544195459953,0,0,0.548387
1544195460063,0,0,0.669599
1544195460169,0,0,0.473118
1544195460278,0,0,0.487781
1544195460389,0,0,0.467253
1544195460498,0,0,0.427175
1544195460609,0,0,0.439883
1544195460718,0,0,0.43695
1544195460829,0,0,0.430108
1544195460939,0,0,0.611926
1544195461047,0,0,0.623656
1544195461155,0,0,0.463343
1544195461267,0,0,0.506354
1544195461375,0,0,0.462366
1544195461483,0,0,0.430108
1544195461589,0,0,0.43695
1544195461700,0,0,0.438905
1544195461809,0,0,0.434995
1544195461922,0,0,0.59824
1544195462027,0,0,0.621701
1544195462139,0,0,0.469208
1544195462247,0,0,0.504399
1544195462360,0,0,0.474096
1544195462468,0,0,0.437928
1544195462578,0,0,0.457478
1544195462683,0,0,0.473118
1544195462793,0,0,0.435973
1544195462904,0,0,0.5826
1544195463018,0,0,0.642229
1544195463123,0,0,0.477028
1544195463230,0,0,0.508309
1544195463344,0,0,0.479961
1544195463453,0,0,0.453568
1544195463558,0,0,0.44868
1544195463671,0,0,0.434995
1544195463782,0,0,0.441838
1544195463890,0,0,0.573803
1544195464001,0,0,0.632454
1544195464105,0,0,0.482893
1544195464218,0,0,0.521017
1544195464329,0,0,0.484848
1544195464434,0,0,0.478006
1544195464547,0,0,0.461388
1544195464654,0,0,0.44868
1544195464761,0,0,0.455523
1544195464873,0,0,0.676442
1544195464986,0,0,0.560117
1544195465092,0,0,0.487781
1544195465202,0,0,0.529814
1544195465314,0,0,0.459433
1544195465418,0,0,0.474096
1544195465528,0,0,0.495601
1544195465636,0,0,0.458456
1544195465751,0,0,0.471163
1544195465859,0,0,0.729228
1544195465970,0,0,0.55132
1544195466074,0,0,0.499511
1544195466183,0,0,0.529814
1544195466295,0,0,0.450635
1544195466406,0,0,0.449658
1544195466514,0,0,0.456501
1544195466624,0,0,0.44477
1544195466731,0,0,0.441838
1544195466844,0,0,0.719453
1544195466952,0,0,0.564027
1544195467060,0,0,0.471163
1544195467171,0,0,0.519062
1544195467282,0,0,0.455523
